"GIS_STATION","DISTRICT","TOWS","STRATUM","TOTAL_AREA","SURVEY_YEAR","LATITUDE","LONGITUDE"
"NBS-8","NBS All",1,10,44100,2018,61.25117,-172.70959
"NBS-14","NBS All",1,10,44100,2018,61.24815,-171.75802
"NBS-19","NBS All",1,10,44100,2018,62.24478,-170.82019
"NBS-26","NBS All",1,10,44100,2018,62.7628,-169.72509
"NBS-27","NBS All",1,10,44100,2018,62.25105,-169.66058
"NBS-29","NBS All",1,10,44100,2018,61.24337,-169.50318
"NBS-21","NBS All",1,10,44100,2018,61.24024,-170.65572
"NBS-22","NBS All",1,10,44100,2018,60.74926,-170.58909
"NBS-1","NBS All",1,10,44100,2018,62.2446,-175.19312
"NBS-2","NBS All",1,10,44100,2018,62.74309,-174.08083
"NBS-5","NBS All",1,10,44100,2018,62.72402,-173.08719
"NBS-6","NBS All",1,10,44100,2018,62.25023,-172.91695
"NBS-7","NBS All",1,10,44100,2018,61.75108,-172.79989
"NBS-12","NBS All",1,10,44100,2018,62.24305,-171.91057
"NBS-17","NBS All",1,10,44100,2018,63.258,-171.11252
"NBS-10","NBS All",1,10,44100,2018,63.24549,-172.00183
"NBS-4","NBS All",1,10,44100,2018,63.25417,-173.11979
"NBS-15","NBS All",1,10,44100,2018,64.23275,-171.10618
"NBS-23","NBS All",1,10,44100,2018,64.74394,-170.04237
"NBS-31","NBS All",1,10,44100,2018,65.24208,-168.96556
"NBS-49","NBS All",1,10,44100,2018,63.74288,-166.59515
"NBS-48","NBS All",1,10,44100,2018,64.26327,-166.60119
"NBS-43","NBS All",1,10,44100,2018,64.2514,-167.66711
"NBS-32","NBS All",1,10,44100,2018,64.73781,-168.87469
"NBS-33","NBS All",1,10,44100,2018,64.2597,-168.81188
"NBS-24","NBS All",1,10,44100,2018,64.24898,-169.97321
"NBS-9","NBS All",1,10,44100,2018,63.76227,-172.28705
"NBS-25","NBS All",1,10,44100,2018,63.75184,-169.94276
"NBS-34","NBS All",1,10,44100,2018,63.75025,-168.80688
"NBS-44","NBS All",1,10,44100,2018,63.76095,-167.65381
"NBS-45","NBS All",1,10,44100,2018,63.2508,-167.64123
"NBS-36","NBS All",1,10,44100,2018,62.74783,-168.67238
"NBS-46","NBS All",1,10,44100,2018,62.74724,-167.58187
"NBS-47","NBS All",1,10,44100,2018,62.2487,-167.544
"NBS-37","NBS All",1,10,44100,2018,61.77183,-168.62411
"NBS-38","NBS All",1,10,44100,2018,61.25862,-168.60031
"NBS-39","NBS All",1,10,44100,2018,60.74974,-168.53237
"NBS-30","NBS All",1,10,44100,2018,60.75149,-169.48561
"FF-01","NBS All",,10,57343,2010,65.33371,-168.42465
"FF-02","NBS All",,10,57343,2010,65.31617,-167.92059
"EE-19","NBS All",,10,57343,2010,65.00699,-169.91485
"EE-18","NBS All",,10,57343,2010,65.01555,-169.12548
"EE-02","NBS All",,10,57343,2010,65.01644,-167.62878
"DD-20","NBS All",,10,57343,2010,64.62579,-170.60414
"DD-19","NBS All",,10,57343,2010,64.66768,-169.89014
"DD-01","NBS All",,10,57343,2010,64.65753,-168.35176
"DD-02","NBS All",,10,57343,2010,64.67294,-167.6068
"DD-03","NBS All",,10,57343,2010,64.6625,-166.83244
"CC-07","NBS All",,10,57343,2010,64.33338,-163.78524
"CC-08","NBS All",,10,57343,2010,64.31491,-163.02948
"CC-09","NBS All",,10,57343,2010,64.33724,-162.25926
"CC-10","NBS All",,10,57343,2010,64.30979,-161.55086
"BB-21","NBS All",,10,57343,2010,64.00354,-171.32216
"BB-20","NBS All",,10,57343,2010,63.99594,-170.55879
"ZZ-23","NBS All",,10,57343,2010,63.32892,-172.6906
"ZZ-22","NBS All",,10,57343,2010,63.31338,-171.97767
"ZZ-21","NBS All",,10,57343,2010,63.27516,-171.14795
"ZZ-01","NBS All",,10,57343,2010,63.33176,-168.24108
"ZZ-03","NBS All",,10,57343,2010,63.34855,-166.76529
"ZZ-04","NBS All",,10,57343,2010,63.33613,-166.03159
"ZZ-05","NBS All",,10,57343,2010,63.34069,-165.29594
"Y-24","NBS All",,10,57343,2010,62.9981,-173.23246
"Y-23","NBS All",,10,57343,2010,63.00432,-172.6075
"Y-22","NBS All",,10,57343,2010,62.98771,-171.79767
"Y-20","NBS All",,10,57343,2010,62.94815,-170.47839
"Y-18","NBS All",,10,57343,2010,62.92583,-168.99946
"Y-01","NBS All",,10,57343,2010,63.00092,-168.21551
"Y-02","NBS All",,10,57343,2010,62.99885,-167.48437
"Y-04","NBS All",,10,57343,2010,62.9875,-166.02606
"X-26","NBS All",,10,57343,2010,62.6672,-174.63588
"X-25","NBS All",,10,57343,2010,62.66698,-173.91008
"X-23","NBS All",,10,57343,2010,62.66935,-172.45551
"X-22","NBS All",,10,57343,2010,62.66685,-171.8147
"X-21","NBS All",,10,57343,2010,62.66625,-171.08509
"X-19","NBS All",,10,57343,2010,62.66859,-169.59794
"X-18","NBS All",,10,57343,2010,62.66741,-168.89549
"X-01","NBS All",,10,57343,2010,62.66214,-168.18564
"X-03","NBS All",,10,57343,2010,62.66778,-166.73645
"W-27","NBS All",,10,57343,2010,62.32484,-175.27395
"W-26","NBS All",,10,57343,2010,62.33008,-174.55902
"W-25","NBS All",,10,57343,2010,62.33262,-173.84159
"BB-18","NBS All",,10,57343,2010,64.00738,-169.05312
"BB-01","NBS All",,10,57343,2010,63.99037,-168.30162
"BB-02","NBS All",,10,57343,2010,64.02858,-167.56485
"BB-04","NBS All",,10,57343,2010,63.99382,-166.0421
"BB-05","NBS All",,10,57343,2010,63.99793,-165.30793
"BB-06","NBS All",,10,57343,2010,63.99528,-164.53422
"BB-07","NBS All",,10,57343,2010,63.99665,-163.79603
"BB-09","NBS All",,10,57343,2010,64.00585,-162.29819
"BB-10","NBS All",,10,57343,2010,63.98905,-161.53701
"AA-23","NBS All",,10,57343,2010,63.66821,-172.73659
"AA-19","NBS All",,10,57343,2010,63.66082,-169.7525
"AA-18","NBS All",,10,57343,2010,63.66929,-169.01524
"AA-01","NBS All",,10,57343,2010,63.66892,-168.27527
"AA-03","NBS All",,10,57343,2010,63.66494,-166.78118
"AA-04","NBS All",,10,57343,2010,63.66285,-166.04161
"AA-05","NBS All",,10,57343,2010,63.66316,-165.29859
"AA-06","NBS All",,10,57343,2010,63.67554,-164.55433
"AA-08","NBS All",,10,57343,2010,63.66323,-163.06467
"CC-20","NBS All",,10,57343,2010,64.32886,-170.61723
"CC-19","NBS All",,10,57343,2010,64.32148,-169.83855
"CC-01","NBS All",,10,57343,2010,64.33116,-168.33465
"CC-02","NBS All",,10,57343,2010,64.33415,-167.57534
"CC-03","NBS All",,10,57343,2010,64.33846,-166.82522
"CC-05","NBS All",,10,57343,2010,64.32405,-165.31513
"T-24","NBS All",,10,57343,2010,61.33726,-172.90428
"T-23","NBS All",,10,57343,2010,61.3304,-172.15018
"T-22","NBS All",,10,57343,2010,61.34166,-171.50104
"T-20","NBS All",,10,57343,2010,61.33588,-170.11354
"T-19","NBS All",,10,57343,2010,61.33955,-169.46244
"T-18","NBS All",,10,57343,2010,61.33046,-168.76781
"T-02","NBS All",,10,57343,2010,61.33192,-167.36984
"T-03","NBS All",,10,57343,2010,61.35055,-166.88055
"S-20","NBS All",,10,57343,2010,60.99228,-170.10315
"S-18","NBS All",,10,57343,2010,60.99538,-168.73501
